,location,total_sqft,bath,price,bhk
96,7th Phase JP Nagar,1400.0,2.0,95.0,3
97,7th Phase JP Nagar,2225.0,3.0,160.0,3
98,7th Phase JP Nagar,1050.0,2.0,71.0,2
101,7th Phase JP Nagar,1450.0,2.0,100.0,3
103,7th Phase JP Nagar,1420.0,2.0,96.0,3
104,7th Phase JP Nagar,1680.0,3.0,120.0,3
105,7th Phase JP Nagar,980.0,2.0,69.0,2
110,7th Phase JP Nagar,1400.0,3.0,115.0,3
111,7th Phase JP Nagar,1270.0,2.0,83.0,2
112,7th Phase JP Nagar,3300.0,4.0,150.0,4
113,7th Phase JP Nagar,2503.0,4.0,188.0,4
114,7th Phase JP Nagar,2200.0,3.0,190.0,3
117,7th Phase JP Nagar,1575.0,2.0,110.0,3
118,7th Phase JP Nagar,1850.0,3.0,140.0,3
119,7th Phase JP Nagar,1575.0,2.0,120.0,3
120,7th Phase JP Nagar,1850.0,3.0,150.0,3
121,7th Phase JP Nagar,1680.0,3.0,120.0,3
122,7th Phase JP Nagar,1175.0,2.0,82.5,2
125,7th Phase JP Nagar,1215.0,2.0,90.0,2
126,7th Phase JP Nagar,1050.0,2.0,75.0,2
127,7th Phase JP Nagar,1300.0,3.0,89.13,3
128,7th Phase JP Nagar,1130.0,2.0,73.0,2
129,7th Phase JP Nagar,1450.0,3.0,100.0,3
132,7th Phase JP Nagar,1275.0,2.0,87.0,2
134,7th Phase JP Nagar,1650.0,3.0,110.0,3
136,7th Phase JP Nagar,1680.0,3.0,117.0,3
137,7th Phase JP Nagar,1850.0,3.0,150.0,3
140,7th Phase JP Nagar,1680.0,3.0,125.0,3
141,7th Phase JP Nagar,1675.0,2.0,135.0,3
143,7th Phase JP Nagar,1850.0,3.0,155.0,3
145,7th Phase JP Nagar,1460.0,2.0,100.0,3
146,7th Phase JP Nagar,1650.0,3.0,110.0,3
148,7th Phase JP Nagar,1000.0,2.0,70.65,2
149,7th Phase JP Nagar,1080.0,2.0,75.0,2
151,7th Phase JP Nagar,1680.0,3.0,125.0,3
152,7th Phase JP Nagar,1460.0,2.0,97.0,3
155,7th Phase JP Nagar,1790.0,3.0,120.0,3
156,7th Phase JP Nagar,1680.0,3.0,117.0,3
157,7th Phase JP Nagar,1050.0,2.0,77.0,2
158,7th Phase JP Nagar,1050.0,2.0,75.0,2
159,7th Phase JP Nagar,1040.0,2.0,75.0,2
160,7th Phase JP Nagar,1400.0,2.0,95.0,3
161,7th Phase JP Nagar,1800.0,3.0,130.0,3
162,7th Phase JP Nagar,1050.0,2.0,68.0,2
164,7th Phase JP Nagar,1680.0,3.0,125.0,3
165,7th Phase JP Nagar,1050.0,2.0,77.47,2
166,7th Phase JP Nagar,1270.0,2.0,80.0,2
168,7th Phase JP Nagar,1680.0,3.0,122.0,3
169,7th Phase JP Nagar,1130.0,2.0,85.0,2
170,7th Phase JP Nagar,1680.0,3.0,130.0,3
171,7th Phase JP Nagar,980.0,2.0,77.44,2
172,7th Phase JP Nagar,1680.0,3.0,112.0,3
174,7th Phase JP Nagar,2095.0,3.0,150.0,3
175,7th Phase JP Nagar,1976.0,3.0,145.0,3
176,7th Phase JP Nagar,1600.0,2.0,110.0,3
177,7th Phase JP Nagar,1765.0,3.0,118.0,3
178,7th Phase JP Nagar,1275.0,2.0,88.0,3
179,7th Phase JP Nagar,1450.0,2.0,102.0,3
180,7th Phase JP Nagar,1575.0,2.0,110.0,3
182,7th Phase JP Nagar,750.0,1.0,47.0,1
184,7th Phase JP Nagar,1000.0,1.0,60.0,1
186,7th Phase JP Nagar,1430.0,2.0,102.0,3
190,7th Phase JP Nagar,1530.0,2.0,108.0,2
191,8th Phase JP Nagar,1073.5,2.0,54.005,2
192,8th Phase JP Nagar,451.0,1.0,29.9,1
196,8th Phase JP Nagar,1455.0,3.0,73.31,3
197,8th Phase JP Nagar,871.0,2.0,55.0,2
199,8th Phase JP Nagar,1800.0,3.0,80.0,3
200,8th Phase JP Nagar,2700.0,4.0,130.0,4
206,8th Phase JP Nagar,500.0,1.0,31.0,1
208,8th Phase JP Nagar,2100.0,4.0,92.0,4
210,8th Phase JP Nagar,909.0,2.0,40.9,2
211,8th Phase JP Nagar,1431.5,3.0,72.02,3
212,8th Phase JP Nagar,1900.0,4.0,90.0,3
213,8th Phase JP Nagar,500.0,1.0,30.0,1
218,8th Phase JP Nagar,1504.0,2.0,83.0,3
219,8th Phase JP Nagar,2600.0,4.0,115.0,4
224,8th Phase JP Nagar,1298.0,2.0,59.0,2
225,8th Phase JP Nagar,1006.0,2.0,44.0,2
226,8th Phase JP Nagar,500.0,1.0,33.0,1
227,8th Phase JP Nagar,1160.0,2.0,95.0,2
228,8th Phase JP Nagar,1245.0,2.0,59.0,2
229,8th Phase JP Nagar,1510.0,2.0,80.0,2
230,8th Phase JP Nagar,3300.0,3.0,165.0,3
231,8th Phase JP Nagar,1730.0,5.0,75.0,5
234,8th Phase JP Nagar,1046.0,2.0,48.0,2
236,8th Phase JP Nagar,1408.0,3.0,80.0,3
238,9th Phase JP Nagar,1005.0,2.0,50.0,2
240,9th Phase JP Nagar,1100.0,2.0,65.0,2
243,9th Phase JP Nagar,5000.0,4.0,290.0,4
244,9th Phase JP Nagar,1164.0,2.0,56.0,2
251,9th Phase JP Nagar,600.0,1.0,20.0,1
252,9th Phase JP Nagar,1466.0,2.0,71.0,2
253,9th Phase JP Nagar,1890.0,2.0,93.0,3
254,9th Phase JP Nagar,1079.0,2.0,60.0,2
255,9th Phase JP Nagar,1480.0,2.0,80.0,2
256,9th Phase JP Nagar,1200.0,2.0,80.0,2
258,9th Phase JP Nagar,1073.0,2.0,52.36,2
259,9th Phase JP Nagar,1719.3,2.0,88.0,3
260,9th Phase JP Nagar,1780.0,3.0,88.0,3
262,9th Phase JP Nagar,1522.0,3.0,90.0,3
264,9th Phase JP Nagar,1900.0,4.0,80.0,4
265,9th Phase JP Nagar,890.0,2.0,45.0,2
267,9th Phase JP Nagar,5000.0,4.0,300.0,4
270,9th Phase JP Nagar,1331.95,2.0,69.0,2
273,AECS Layout,1199.0,2.0,65.0,2
274,AECS Layout,1080.0,2.0,55.0,2
275,AECS Layout,1123.0,2.0,64.0,2
277,AECS Layout,1005.0,2.0,55.0,2
278,AECS Layout,2000.0,3.0,90.0,3
279,Abbigere,985.0,2.0,40.39,2
280,Abbigere,2200.0,6.0,68.0,6
281,Abbigere,765.0,2.0,30.0,1
283,Abbigere,795.0,2.0,32.54,2
285,Abbigere,734.0,1.0,19.82,1
286,Abbigere,1260.0,2.0,45.0,3
287,Abbigere,1020.0,2.0,41.82,2
288,Abbigere,985.0,2.0,40.39,2
289,Abbigere,2500.0,6.0,81.0,6
290,Abbigere,795.0,2.0,32.54,2
291,Abbigere,1130.0,2.0,46.33,2
292,Abbigere,795.0,1.0,32.6,2
293,Abbigere,3000.0,8.0,150.0,8
295,Abbigere,1000.0,2.0,41.0,2
296,Abbigere,995.0,2.0,40.8,2
299,Akshaya Nagar,1070.0,2.0,54.0,2
302,Akshaya Nagar,1897.0,3.0,120.0,3
303,Akshaya Nagar,1410.0,2.0,75.0,3
304,Akshaya Nagar,1360.0,2.0,85.0,3
306,Akshaya Nagar,1410.0,2.0,80.0,3
310,Akshaya Nagar,1666.0,3.0,95.0,3
311,Akshaya Nagar,1575.0,3.0,90.0,3
316,Akshaya Nagar,1092.0,2.0,60.0,2
321,Akshaya Nagar,1314.0,2.0,68.8,2
323,Akshaya Nagar,1265.0,2.0,67.0,2
324,Akshaya Nagar,1126.0,2.0,55.0,2
326,Akshaya Nagar,1662.0,3.0,90.0,3
328,Akshaya Nagar,1412.0,2.0,88.0,3
329,Akshaya Nagar,1434.0,3.0,84.0,3
332,Akshaya Nagar,1419.0,2.0,87.0,3
338,Akshaya Nagar,1896.0,3.0,102.0,3
339,Akshaya Nagar,1300.0,2.0,66.0,2
340,Akshaya Nagar,1225.0,2.0,68.0,2
344,Akshaya Nagar,900.0,2.0,45.0,2
345,Ambalipura,1105.0,2.0,75.0,2
347,Ambalipura,1150.0,2.0,80.0,2
349,Ambalipura,1332.0,2.0,79.0,2
350,Ambalipura,1730.0,3.0,120.0,3
354,Ambalipura,2550.0,4.0,149.0,4
356,Ambalipura,2750.0,4.0,142.0,4
357,Ambalipura,1303.0,2.0,80.0,2
358,Ambalipura,1607.0,2.0,112.0,3
359,Ambalipura,770.0,1.0,43.82,1
363,Ambalipura,1607.0,2.0,112.0,3
364,Ambalipura,1198.0,2.0,80.0,2
365,Ambedkar Nagar,1935.0,4.0,130.0,3
366,Ambedkar Nagar,1424.0,2.0,90.0,2
367,Ambedkar Nagar,2225.0,4.0,169.0,3
369,Ambedkar Nagar,1850.0,4.0,139.0,3
372,Ambedkar Nagar,1424.0,2.0,90.0,2
374,Ambedkar Nagar,3530.0,4.0,290.0,4
376,Ambedkar Nagar,1852.0,3.0,130.0,3
378,Ambedkar Nagar,1367.0,2.0,86.0,2
379,Ambedkar Nagar,3565.0,4.0,255.0,4
380,Ambedkar Nagar,1409.0,2.0,95.0,2
382,Ambedkar Nagar,1921.0,4.0,129.0,3
385,Ambedkar Nagar,1852.0,4.0,122.0,3
387,Ambedkar Nagar,1852.0,3.0,125.0,3
389,Ambedkar Nagar,1425.0,2.0,94.0,2
393,Amruthahalli,1900.0,3.0,135.0,3
395,Amruthahalli,900.0,2.0,60.0,2
401,Amruthahalli,1450.0,2.0,85.0,3
403,Amruthahalli,1250.0,2.0,79.0,2
405,Amruthahalli,1202.0,2.0,65.0,2
406,Amruthahalli,1340.0,2.0,75.0,2
407,Amruthahalli,2650.0,4.0,175.0,3
408,Amruthahalli,1450.0,2.0,90.0,3
410,Amruthahalli,485.0,1.0,19.5,1
412,Anandapura,1000.0,2.0,55.0,2
414,Anandapura,1576.0,3.0,59.1,3
415,Anandapura,1200.0,2.0,67.0,2
416,Anandapura,1200.0,2.0,58.0,2
419,Anandapura,900.0,2.0,48.0,2
420,Anandapura,1749.0,4.0,90.0,4
422,Anandapura,1576.0,3.0,58.0,3
425,Anandapura,1200.0,2.0,58.0,2
426,Anandapura,1200.0,2.0,66.0,3
427,Anandapura,1415.0,2.0,74.0,3
429,Anandapura,1141.0,2.0,50.0,2
430,Anandapura,1576.0,3.0,58.7,3
431,Ananth Nagar,500.0,1.0,14.0,1
434,Ananth Nagar,500.0,2.0,14.0,1
437,Ananth Nagar,870.0,2.0,36.0,2
438,Ananth Nagar,937.0,2.0,35.0,2
439,Ananth Nagar,960.0,2.0,37.0,2
440,Ananth Nagar,500.0,1.0,14.0,1
442,Ananth Nagar,850.0,2.0,25.99,2
444,Ananth Nagar,1470.0,3.0,54.0,3
445,Ananth Nagar,810.0,2.0,25.5,2
446,Ananth Nagar,890.0,2.0,27.0,2
448,Ananth Nagar,1319.0,3.0,37.75,3
449,Ananth Nagar,1319.0,3.0,42.0,3
454,Ananth Nagar,500.0,1.0,14.0,1
455,Ananth Nagar,1010.0,2.0,38.0,2
459,Anekal,620.0,2.0,22.0,2
461,Anekal,925.0,2.0,40.0,2
462,Anekal,530.0,1.0,18.0,1
463,Anekal,1800.0,3.0,68.0,3
465,Anekal,351.0,1.0,16.0,1
466,Anekal,1035.0,2.0,38.3,2
467,Anekal,888.0,2.0,34.0,2
471,Anekal,1200.0,2.0,36.0,4
472,Anekal,766.0,2.0,28.0,2
473,Anekal,967.0,2.0,45.0,3
474,Anekal,620.0,1.0,23.5,2
475,Anekal,1150.0,3.0,45.0,3
482,Anekal,2400.0,4.0,95.0,3
487,Anekal,614.0,1.0,28.0,2
488,Anekal,1140.0,2.0,52.0,2
489,Anekal,625.0,1.0,25.0,2
490,Anjanapura,1850.0,4.0,86.0,4
491,Anjanapura,1070.0,2.0,39.0,2
492,Anjanapura,1500.0,3.0,121.0,3
493,Anjanapura,1070.0,2.0,37.0,2
494,Anjanapura,950.0,2.0,40.0,2
495,Anjanapura,1280.0,2.0,45.0,3
496,Anjanapura,710.0,2.0,25.0,2
497,Anjanapura,1347.0,2.0,37.72,3
499,Anjanapura,1800.0,4.0,55.0,4
500,Anjanapura,1843.0,3.0,87.54,3
503,Ardendale,1750.0,3.0,100.0,3
505,Ardendale,2422.0,4.0,160.0,4
506,Ardendale,1750.0,3.0,100.0,3
508,Ardendale,1728.0,3.0,95.0,3
509,Ardendale,2062.0,3.0,140.0,4
511,Ardendale,2062.0,3.0,150.0,4
513,Ardendale,1224.0,2.0,70.0,2
514,Ardendale,1777.26,3.0,105.0,3
516,Ardendale,2062.0,3.0,140.0,4
518,Ardendale,1224.0,2.0,67.0,2
519,Ardendale,1723.0,3.0,95.0,3
522,Arekere,2060.0,3.0,140.0,3
524,Arekere,1740.0,2.0,95.0,3
526,Arekere,600.0,1.0,28.0,1
527,Arekere,2072.0,3.0,108.0,3
528,Arekere,1100.0,2.0,55.0,2
529,Arekere,900.0,2.0,50.0,2
530,Arekere,2710.0,6.0,142.0,4
532,Arekere,900.0,2.0,44.5,2
534,Attibele,1600.0,4.0,52.8,4
535,Attibele,656.0,2.0,25.0,2
537,Attibele,400.0,1.0,12.0,1
538,Attibele,400.0,1.0,14.0,1
539,Attibele,500.0,1.0,17.0,1
540,Attibele,2168.0,4.0,95.0,4
542,Attibele,420.0,1.0,17.0,1
543,Attibele,1639.0,2.0,40.98,3
544,Attibele,418.0,1.0,12.0,1
545,Attibele,1200.0,2.0,42.0,2
547,Attibele,695.0,1.0,25.0,2
549,Attibele,2400.0,3.0,120.0,3
556,Attibele,656.0,2.0,25.0,2
557,Attibele,400.0,1.0,11.5,1
558,Attibele,460.0,1.0,13.0,1
560,Attibele,1000.0,2.0,42.0,2
564,Attibele,1700.0,3.0,65.0,3
566,Attibele,656.0,2.0,25.0,2
567,Attibele,1500.0,3.0,90.0,3
568,Attibele,520.0,1.0,15.0,1
570,BEML Layout,2000.0,3.0,85.0,3
572,BEML Layout,2400.0,4.0,225.0,5
573,BEML Layout,2000.0,2.0,85.0,3
576,BEML Layout,2400.0,2.0,228.0,2
577,BEML Layout,2000.0,3.0,85.0,3
578,BEML Layout,2000.0,3.0,85.0,3
580,BTM 2nd Stage,1260.0,5.0,185.0,3
583,BTM 2nd Stage,1200.0,2.0,80.0,2
587,BTM 2nd Stage,1280.0,2.0,80.0,2
588,BTM 2nd Stage,1100.0,2.0,70.0,2
589,BTM 2nd Stage,1000.0,2.0,58.0,2
590,BTM 2nd Stage,2990.0,5.0,416.0,5
593,BTM 2nd Stage,2780.0,4.0,325.0,3
594,BTM 2nd Stage,2400.0,2.0,360.0,3
595,BTM 2nd Stage,965.0,2.0,56.0,2
596,BTM 2nd Stage,1147.0,2.0,75.0,2
598,BTM 2nd Stage,1400.0,2.0,90.0,2
599,BTM 2nd Stage,1200.0,2.0,70.0,2
603,BTM 2nd Stage,2500.0,3.0,345.0,3
604,BTM Layout,1150.0,2.0,63.0,2
605,BTM Layout,3300.0,6.0,165.0,6
609,BTM Layout,935.0,2.0,51.5,2
610,BTM Layout,1020.0,2.0,46.5,2
611,BTM Layout,1600.0,3.0,112.0,3
612,BTM Layout,1300.0,2.0,75.0,3
614,BTM Layout,450.0,1.0,20.0,1
615,BTM Layout,1196.0,2.0,56.81,2
616,BTM Layout,1470.0,2.0,99.0,3
619,Babusapalaya,1611.0,2.0,66.0,3
621,Babusapalaya,1675.0,3.0,75.0,3
622,Babusapalaya,1141.0,2.0,46.0,2
623,Babusapalaya,1500.0,2.0,57.0,2
625,Babusapalaya,1050.0,2.0,45.0,2
626,Babusapalaya,1141.0,2.0,45.9,2
628,Babusapalaya,1230.0,3.0,53.0,3
630,Babusapalaya,1410.0,2.0,65.0,3
631,Babusapalaya,1450.0,2.0,55.99,2
637,Babusapalaya,1245.0,2.0,58.0,2
638,Badavala Nagar,1494.0,2.0,94.55,3
639,Badavala Nagar,1274.0,2.0,81.0,2
641,Badavala Nagar,1494.0,2.0,94.55,3
642,Badavala Nagar,1274.0,2.0,81.0,2
643,Badavala Nagar,1494.0,2.0,94.55,3
647,Balagere,1210.0,2.0,80.9,2
649,Balagere,1205.0,2.0,78.5,2
653,Balagere,1020.07,2.0,68.38,2
654,Balagere,1205.47,2.0,81.0,2
655,Balagere,1007.0,2.0,65.0,2
658,Balagere,1210.0,2.0,83.0,2
659,Balagere,675.0,1.0,45.0,1
660,Balagere,656.0,1.0,43.0,1
662,Balagere,1012.0,2.0,64.0,2
664,Balagere,1007.0,2.0,67.0,2
665,Balagere,1007.0,2.0,66.0,2
672,Balagere,1012.0,2.0,65.0,2
673,Balagere,656.0,1.0,38.77,1
674,Balagere,645.0,1.0,39.0,1
675,Balagere,645.0,1.0,41.0,1
676,Balagere,1210.0,2.0,82.0,2
679,Balagere,1012.0,2.0,70.0,2
680,Balagere,1007.0,2.0,68.0,2
682,Balagere,1205.0,2.0,79.0,2
683,Balagere,1012.0,2.0,68.0,2
686,Banashankari,1470.0,2.0,88.64,3
688,Banashankari,1800.0,3.0,115.0,3
689,Banashankari,1125.0,2.0,63.0,2
691,Banashankari,1310.0,2.0,80.0,2
693,Banashankari,1900.0,2.0,170.0,3
694,Banashankari,1260.0,2.0,75.0,2
696,Banashankari,2500.0,4.0,95.0,4
697,Banashankari,1350.0,2.0,83.0,3
699,Banashankari,1330.0,2.0,78.0,2
701,Banashankari,1700.0,3.0,125.0,3
705,Banashankari,2400.0,1.0,200.0,1
706,Banashankari,1390.0,2.0,86.0,2
709,Banashankari,1290.0,2.0,80.0,2
710,Banashankari,2582.0,5.0,250.0,3
711,Banashankari,1186.0,2.0,65.0,2
712,Banashankari,1650.0,3.0,101.0,3
714,Banashankari,1181.0,2.0,75.0,2
715,Banashankari,1105.0,2.0,90.0,2
716,Banashankari,720.0,1.0,60.0,1
718,Banashankari,1330.0,2.0,77.0,2
720,Banashankari,1185.0,2.0,67.0,2
723,Banashankari,1650.0,3.0,101.0,3
724,Banashankari,1310.0,2.0,80.43,2
726,Banashankari,1430.0,2.0,87.8,2
731,Banashankari,1683.0,3.0,115.0,3
732,Banashankari,1800.0,3.0,125.0,3
735,Banashankari,1800.0,3.0,175.0,3
737,Banashankari,1770.0,3.0,108.0,3
738,Banashankari,1800.0,3.0,125.0,3
741,Banashankari,1200.0,3.0,74.52,3
742,Banashankari,1100.0,2.0,63.0,2
744,Banashankari,1260.0,2.0,75.0,2
746,Banashankari,1426.0,3.0,85.0,3
747,Banashankari Stage II,1700.0,2.0,150.0,2
748,Banashankari Stage II,1200.0,2.0,150.0,4
750,Banashankari Stage II,2400.0,3.0,510.0,5
752,Banashankari Stage II,1250.0,2.0,110.0,2
754,Banashankari Stage II,2400.0,2.0,300.0,3
755,Banashankari Stage II,1400.0,2.0,100.0,2
756,Banashankari Stage II,2800.0,3.0,425.0,5
757,Banashankari Stage II,3000.0,3.0,450.0,3
758,Banashankari Stage II,1200.0,2.0,198.0,3
759,Banashankari Stage II,1245.0,2.0,125.0,2
761,Banashankari Stage III,1145.0,2.0,58.4,2
762,Banashankari Stage III,1650.0,3.0,118.0,3
763,Banashankari Stage III,2400.0,4.0,240.0,4
765,Banashankari Stage III,2000.0,4.0,100.0,4
768,Banashankari Stage III,1200.0,2.0,42.0,2
772,Banashankari Stage III,1304.0,2.0,111.0,2
773,Banashankari Stage III,3000.0,6.0,150.0,6
774,Banashankari Stage III,1085.0,2.0,50.0,2
775,Banashankari Stage III,1500.0,2.0,100.0,3
776,Banashankari Stage III,2100.0,3.0,147.0,4
777,Banashankari Stage III,1420.0,2.0,95.0,3
778,Banashankari Stage V,1300.0,2.0,58.5,3
779,Banashankari Stage V,1305.0,2.0,49.0,3
780,Banashankari Stage V,1035.0,2.0,35.77,2
781,Banashankari Stage V,1355.0,2.0,61.0,3
786,Banashankari Stage V,1315.0,2.0,49.0,3
788,Banashankari Stage V,920.0,2.0,41.5,2
789,Banashankari Stage VI,1177.5,2.0,59.935,2
790,Banashankari Stage VI,4800.0,4.0,190.0,4
791,Banashankari Stage VI,2800.0,4.0,89.0,4
792,Banashankari Stage VI,2200.0,4.0,195.0,4
793,Banashankari Stage VI,1160.0,2.0,59.0,2
794,Banashankari Stage VI,1180.0,2.0,59.47,2
795,Banashankari Stage VI,1423.0,2.0,71.73,3
796,Banashankari Stage VI,1392.0,3.0,69.46,3
797,Banashankari Stage VI,1410.5,2.0,70.385,3
798,Banashankari Stage VI,4800.0,3.0,200.0,4
802,Banaswadi,1365.0,2.0,73.0,2
803,Banaswadi,1903.0,6.0,140.0,5
804,Banaswadi,1222.0,2.0,80.0,2
807,Banaswadi,1600.0,3.0,74.5,3
808,Banaswadi,527.0,1.0,35.0,1
809,Banaswadi,1340.0,2.0,73.0,2
810,Banaswadi,1008.0,2.0,52.0,2
811,Banaswadi,1105.0,2.0,57.0,2
812,Banjara Layout,1200.0,2.0,70.0,2
813,Banjara Layout,1050.0,2.0,64.8,2
814,Banjara Layout,753.0,3.0,59.5,2
815,Banjara Layout,2500.0,4.0,140.0,3
816,Bannerghatta,3012.0,6.0,250.0,4
817,Bannerghatta,1665.0,3.0,110.0,3
818,Bannerghatta,2370.0,4.0,195.0,3
819,Bannerghatta,1100.0,2.0,66.0,2
820,Bannerghatta,2895.5,2.0,246.0,4
821,Bannerghatta,1113.0,2.0,70.0,2
822,Bannerghatta,1200.0,2.0,73.2,2
823,Bannerghatta,1070.0,2.0,87.0,2
824,Bannerghatta,1776.0,3.0,124.0,3
825,Bannerghatta,1776.0,3.0,150.0,3
826,Bannerghatta Road,500.0,1.0,18.5,1
827,Bannerghatta Road,1050.0,2.0,65.0,2
828,Bannerghatta Road,1170.0,2.0,66.0,3
829,Bannerghatta Road,595.0,1.0,33.32,1
830,Bannerghatta Road,1445.0,3.0,95.0,3
831,Bannerghatta Road,1640.0,2.0,120.0,3
833,Bannerghatta Road,1460.0,2.0,90.0,3
835,Bannerghatta Road,1179.0,2.0,66.02,2
836,Bannerghatta Road,1122.5,2.0,58.935,2
837,Bannerghatta Road,793.0,2.0,45.0,2
839,Bannerghatta Road,1400.0,2.0,78.0,2
840,Bannerghatta Road,2700.0,5.0,158.0,5
842,Bannerghatta Road,1654.0,3.0,100.0,3
845,Bannerghatta Road,1200.0,2.0,75.0,2
847,Bannerghatta Road,595.0,1.0,31.83,1
849,Bannerghatta Road,1255.0,2.0,65.26,2
853,Bannerghatta Road,1650.0,3.0,122.0,3
854,Bannerghatta Road,912.0,2.0,55.0,2
855,Bannerghatta Road,1218.0,2.0,73.0,2
857,Bannerghatta Road,1115.0,2.0,65.12,2
860,Bannerghatta Road,1600.0,3.0,95.0,3
864,Bannerghatta Road,1260.0,2.0,70.0,2
867,Bannerghatta Road,1150.0,2.0,65.0,2
871,Bannerghatta Road,1725.0,3.0,110.0,3
872,Bannerghatta Road,1850.0,6.0,150.0,6
875,Bannerghatta Road,1220.0,2.0,80.0,2
876,Bannerghatta Road,1130.0,2.0,78.0,2
878,Bannerghatta Road,1486.0,3.0,83.22,3
881,Bannerghatta Road,1115.0,2.0,61.0,2
883,Bannerghatta Road,2700.0,4.0,260.0,4
884,Bannerghatta Road,1200.0,2.0,69.0,3
886,Bannerghatta Road,1302.5,2.0,67.73,2
887,Bannerghatta Road,1200.0,2.0,65.0,2
888,Bannerghatta Road,1240.0,2.0,65.0,2
889,Bannerghatta Road,1476.0,3.0,125.0,3
891,Bannerghatta Road,1532.5,3.0,84.29,3
893,Bannerghatta Road,1268.0,2.0,69.0,2
894,Bannerghatta Road,1450.0,2.0,87.0,3
895,Bannerghatta Road,2932.0,5.0,195.0,4
898,Bannerghatta Road,960.0,2.0,58.0,2
899,Bannerghatta Road,1750.0,3.0,130.0,3
